0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	5.56	5.9
0	0	5.3	5.86
0	0	5.22	5.79
0	0	5.04	5.9
0	0	5.04	5.82
0	0	5.22	5.82
0	0	5.07	5.86
0	0	5	5.79
0	0	5.07	5.71
0	0	5.3	5.79
0	0	5.19	5.86
0	0	5.04	5.79
0	0	4.93	5.7
0	0	5.15	5.74
0	0	5.26	5.81
0	0	5.33	5.81
0	0	5.44	5.67
0	0	5.44	5.63
0	0	5.3	5.48
0	0	5.44	5.44
5.19	5.37	5.56	5.78
5.3	5.37	5.44	5.74
5.22	5.3	5.56	5.78
5.22	5.26	5.74	5.7
5.11	5.15	5.78	5.78
5.41	5.11	5.85	5.7
5.44	5.33	6.07	5.89
5.44	5.37	6.19	6.22
5.52	5.44	6.3	6.19
5.59	5.56	6.22	6.26
5.56	5.7	6.22	6.26
5.41	5.7	6.3	6.39
5.48	5.67	6.11	6.46
5.52	5.78	6.37	6.39
5.67	5.63	6.48	6.31
5.67	5.52	6.41	6.31
5.63	5.48	6.22	6.24
5.89	5.52	6.37	6.27
5.93	5.41	6.74	6.13
6.07	5.56	6.93	6.13
6.11	5.67	6.89	6.09
5.96	5.63	6.85	6.16
6.07	5.74	6.96	6.2
6.15	5.74	6.89	6.39
